question_id,db_id,table_f1,column_f1,missing_tables,extra_tables,missing_columns,extra_columns,invalid,question
29,NTSB,0.8,0.16666666666666669,TIREPLAC,,TIRE.CASEID; TIRE.TIRELOC; TIRE.TIRESIZE; TIRE.VEHNO; TIREPLAC.CASEID; TIREPLAC.RECFRONT1; TIREPLAC.VEHNO; VPICDECODE.CASEID; VPICDECODE.VEHNO,TIRE.CATEGORY,,"Which vehicle make has the most instances of mismatched front left tires? That is, where the left front tire size on the vehicle does not match the manufacturers first recommended front tire size."
100,PacificIslandLandbirds,0.6666666666666666,0.2,tbl_Events; tbl_Observations,,tbl_Events.Event_ID; tbl_Events.Station_ID; tbl_Observations.Event_ID; tbl_Observations.Species_ID; tbl_Stations.Station; tlu_Species.Common_Name; tlu_Species.Species_ID,tlu_Species.Scientific_Name,,"At stations 2 and 3, show the station name and common names of each species observed at each station, and include the total count of observations per species."
21,PacificIslandLandbirds,0.4,0.25,tbl_Events; tbl_Observations; tlu_Species,,tbl_Events.Event_ID; tbl_Events.Station_ID; tbl_Observations.Event_ID; tbl_Observations.Species_ID; tlu_Species.Common_Name; tlu_Species.Species_ID,,,How many stations has the Hawaii Amakihi been observed at?
26,NTSB,0.8,0.25,,GV,INJURY.AIS; INJURY.CASEID; INJURY.VEHNO; VPICDECODE.CASEID; VPICDECODE.VEHNO,GV.MAKE,,Show a count of minor injuries by vehicle make. The lookup code for minor injuries is 1.
43,ASIS_20161108_HerpInv_Database,0.5,0.2857142857142857,Observer_LU; tlinkObservers,,Observer_LU.Agency/Title; Observer_LU.ObsInits; tblFieldDataTurtleMeasurements.EventID; tlinkObservers.EventID; tlinkObservers.ObsInits,,,Show a count of turtle measurements made by each agency.
25,NYSED_SRC2022,0.6666666666666666,0.2857142857142857,Institution_Grouping,,Inexperienced_Teachers_and_Principals.ENTITY_NAME; Inexperienced_Teachers_and_Principals.PER_TEACH_INEXP; Inexperienced_Teachers_and_Principals.YEAR; Institution_Grouping.ENTITY_CD; Institution_Grouping.GROUP_NAME,,,"What are the entity codes, names and percentage inexperience teachers, of the five public schools with the highest percentage of inexperienced teachers in 2021?"
20,KlamathInvasiveSpecies,0.33333333333333337,0.28571428571428575,,tlu_Species_LABE; tlu_Species_LAVO; tlu_Species_REDW; tlu_Species_WHIS,tlu_Species_ORCA.SampleYear,tlu_Species_LABE.Species; tlu_Species_LAVO.Species; tlu_Species_REDW.Species; tlu_Species_WHIS.Species,,"For each year, display a count of distinct species in the oregon caves national monument and preserve species lookup table."
23,CratersWildlifeObservations,0.6666666666666666,0.28571428571428575,,Month,Roadkill.Month; Roadkill.Species; Roadkill.Year,Month.Field1; Roadkill.HWY_Mile_Marker,,"What is the species, year and month of the roadkill observation with the highest number killed documented?"
46,NorthernPlainsFireManagement,0.6666666666666666,0.28571428571428575,,tlu_PlantSpecies,tbl_WitnessTrees.Witness_DBH; tbl_WitnessTrees.Witness_SpCode; tbl_WitnessTrees.Witness_stake,tlu_PlantSpecies.genus; tlu_PlantSpecies.subgenus,,What is the species code and diameter at breast height of the witness tree that is furthest from the marking stake? Exclude location ID 4 from the result.
38,SBODemoUS-Human Resources,0.8,0.28571428571428575,HTM1,,HTM1.empID; HTM1.teamID; OHEM.MunKey; OHEM.empID; OHEM.homeTel; OHEM.officeTel; OHTM.name; OHTM.teamID,OHEM.lastName; OHEM.middleName,,"Show the municipality key, home city, home phone number, work city and office phone number of employees on the sales team."
75,NYSED_SRC2022,1.0,0.28571428571428575,,,Inexperienced_Teachers_and_Principals.NUM_TEACH; Inexperienced_Teachers_and_Principals.NUM_TEACH_INEXP; Inexperienced_Teachers_and_Principals.PER_TEACH_INEXP; Inexperienced_Teachers_and_Principals.YEAR,Inexperienced_Teachers_and_Principals.ENTITY_CD,,"Show the number of teachers, number of inexperienced teaches, and percentage of inexperienced teaches at sheridan prep academy in 2021."
37,NorthernPlainsFireManagement,0.6666666666666666,0.3333333333333333,tbl_Events,,tbl_Events.Event_Date; tbl_Events.Location_ID; tbl_Locations.SiteDescription,tbl_Locations.Eco_Notes,,Show the site description of locations at plots that were in events in 2001
28,PacificIslandLandbirds,0.4,0.33333333333333337,tbl_Observations; tlu_Contacts; xref_Event_Contacts,,tbl_Observations.Event_ID; tbl_Observations.Species_ID; tlu_Contacts.Contact_ID; tlu_Contacts.First_Name; tlu_Contacts.Last_Name; tlu_Species.Species_ID; xref_Event_Contacts.Contact_ID; xref_Event_Contacts.Event_ID,,,What species has Patrick Hart observed? List all of them by their scientific and common names. Don't include duplicate rows.
16,NYSED_SRC2022,0.28571428571428575,0.36363636363636365,Institution_Grouping,Annual_EM_ELA; Annual_EM_MATH; Annual_NYSAA; Annual_Regents_Exams,Annual_EM_SCIENCE.ASSESSMENT_NAME; Annual_EM_SCIENCE.ENTITY_CD; Institution_Grouping.ENTITY_CD; Institution_Grouping.GROUP_NAME,Annual_EM_ELA.LEVEL1_%TESTED; Annual_EM_ELA.LEVEL2_%TESTED; Annual_EM_ELA.LEVEL3_%TESTED; Annual_EM_ELA.LEVEL4_%TESTED; Annual_EM_MATH.LEVEL1_%TESTED; Annual_EM_MATH.LEVEL2_%TESTED; Annual_EM_MATH.LEVEL3_%TESTED; Annual_EM_MATH.LEVEL4_%TESTED; Annual_NYSAA.TESTED; Annual_Regents_Exams.TESTED,,"What are the average public elementary school level 1, level 2, level 3, and level 4 percent tested for each science assessment? Exclude scores with the value 's'."
22,SBODemoUS-Finance,0.33333333333333337,0.36363636363636365,,AACT; OACQ; OACT; OJDT,ORTT.RateDate,AACT.DataSource; OACQ.Currency; OACQ.DataSource; OACT.DataSource; OJDT.DataSource; ORTT.Currency,,What year had the highest rate for currency type 'CAN' from data source I?
95,SBODemoUS-Banking,0.33333333333333337,0.37499999999999994,,OPEX; OPYM; OVPM; PWZ3,ORCT.CreateDate; ORCT.DocCurr; ORCT.TrsfrSumFC,OPEX.Currency; OPYM.Address; OVPM.Address; OVPM.CardCode; OVPM.CardName; PWZ3.CardCode; PWZ3.CardName,,"What is the card code, card name, address, and functional currency transfer amount for the incoming payments created in the year 2012 where the document summary currency code is 'EUR'"
4,ASIS_20161108_HerpInv_Database,0.6666666666666666,0.4,tblLocationsPoints,,tblLocationsPoints.LocationID; tblLocationsPoints.UTMX; tblLocationsPoints.UTMY,,,what are the Universal Transverse Mercator x and y coordinates for locations where time constrained searches were conducted? Include the location ID and x and y point coordinate averages in the result.
52,KlamathInvasiveSpecies,0.6666666666666666,0.4,,tbl_Events,tbl_MacroHabitat.Slope,tbl_Events.Location_ID; tbl_MacroHabitat.MacroHab,,Show the average slope of macro habitat events with Upland hydrology
83,NTSB,0.6666666666666666,0.4,TIREPLAC,,TIREPLAC.CASEID; TIREPLAC.RECFRONT1; TIREPLAC.RECREAR1; TIREPLAC.VEHNO; VPICDECODE.CASEID; VPICDECODE.VEHNO,,,Show the first recommended front and rear tire sizes for all of the Subaru WRXs in the dataset.
10,NYSED_SRC2022,1.0,0.4,,,ACC_EM_Chronic_Absenteeism.ABSENT_RATE; ACC_EM_Chronic_Absenteeism.SUBGROUP_NAME,ACC_EM_Chronic_Absenteeism.SUBJECT,,Show the name of the public elementary school entity that has the lowest chronic absence rate of students with disabilities. Exclude data where the rate value is 's'.
79,NYSED_SRC2022,1.0,0.4,,,BOCES_and_N/RC.ENTITY_CD; Inexperienced_Teachers_and_Principals.ENTITY_CD; Inexperienced_Teachers_and_Principals.PER_TEACH_INEXP,,,What is the average percantage of inexperienced teachers for the five school districts with the highest average? Include the district name in the result.
98,SBODemoUS-Human Resources,0.5,0.4444444444444445,HTM1; OHTM,,HTM1.empID; HTM1.teamID; OHEM.empID; OHTM.name; OHTM.teamID,,,What are the first and last names of employees on the Sales team?
31,SBODemoUS-General,0.6666666666666666,0.4444444444444445,RSC4,,ORSC.ResGrpCod; ORSC.ResName; ORSC.StdCost1; RSC4.EmpID; RSC4.ResCode,,,"What is the resource name, type, group code, and resource cost 1 of the employee resource with employee ID 9?"
6,NorthernPlainsFireManagement,0.5,0.5,tbl_Nests,tbl_Saplings,tbl_Nests.Cover; tbl_Nests.Nest_ID; tbl_Nests.SpCode,tbl_Saplings.spcode,,What is the species code and cover class text description of the nested subplot with ID 48?
11,CratersWildlifeObservations,0.6666666666666666,0.5,Invert_Family,,Invert_Family.Invert_Family,INVERTEBRATES.Number,,Show all of the family values in the invertebrates table that are not in the invertebrates family table. Exclude null values and include only one entry per type.
101,NYSED_SRC2022,0.6666666666666666,0.5,Institution_Grouping,,Annual_NYSESLAT.ENTITY_CD; Annual_NYSESLAT.PER_ENT; Institution_Grouping.ENTITY_CD; Institution_Grouping.GROUP_NAME,,,"For each subject, what is the average percent of students scoring at the entering level on the new york state english as a second language achievement test in 2021 for students at public schools? Exclude score values of 's'."
69,ATBI,0.8,0.5,,tlu_Can_Pos,tlu_PlantSpecies.CommonName; tlu_PlantSpecies.SpeciesCode,,,Are there any tree species that have not been observed within nested subplots? What are their common names?
60,PacificIslandLandbirds,1.0,0.5,,,tlu_Species.Family; tlu_Species.Species_ID; xref_Species_Alternate_Names.Species_ID,tlu_Species.Scientific_Name,,what are the common names and alternate names for birds of the family Laridae?
63,PacificIslandLandbirds,1.0,0.5,,,tbl_Event_Details.Cloud; tbl_Observations.Event_ID,,,How many observations were made on days when there were no clouds in the sky?
66,ASIS_20161108_HerpInv_Database,1.0,0.5,,,tblFieldDataCoverBoard.Type,tblFieldDataCoverBoard.Species_Code,,What are the location IDs of locations that have covers made out of wood? Only include one row per location ID.
82,SBODemoUS-Human Resources,1.0,0.5,,,OHEM.JTCode,OHEM.jobTitle,,What is the job title code of the employee with the last name  Chan?
90,KlamathInvasiveSpecies,1.0,0.5,,,tbl_Locations.Site_ID; tbl_Sites.Site_Name,,,What is the name and number of sites of the site with the most locations?
73,KlamathInvasiveSpecies,1.0,0.5333333333333333,,,tbl_MicroHabitat.BareGround; tbl_MicroHabitat.CoverPercent; tbl_MicroHabitat.Phenology; tbl_MicroHabitat.Rock; tbl_MicroHabitat.Shrub,tbl_MicroHabitat.CoverClass; tbl_MicroHabitat.Soil_Dist,,"What is the deciduous, shrub, herb, debris, litter, ground, and rock coverage of micro habitatis with a Flowering Phenology and a cover percentage greater than 90"
39,ATBI,0.5,0.5714285714285715,tbl_Nests,tbl_Overstory,tbl_Nests.Cover; tbl_Nests.Event_ID,tbl_Overstory.DBH,,"For each event ID, show the count of nested sub plots for each cover class text description."
51,NYSED_SRC2022,0.6666666666666666,0.5714285714285715,Institution_Grouping,,Accountability_Status.YEAR; Institution_Grouping.ENTITY_CD; Institution_Grouping.GROUP_NAME,,,How many public school entities are in each accountability status in the year 2022?
64,NYSED_SRC2022,0.6666666666666666,0.5714285714285715,Institution_Grouping,,ACC_HS_Chronic_Absenteeism.ENTITY_CD; Institution_Grouping.ENTITY_CD; Institution_Grouping.GROUP_NAME,,,What is the average public high school entity chronic absenteeism rate by student sub group in 2021? Do not include rows where the rate is 's'.
94,ATBI,1.0,0.5714285714285715,,,tlu_Presence.Pres_Num,tbl_Nests.Module; tbl_Nests.Presence_Second,,"For each presence class text description, how many nested subplots records are there where the presence class is the presence class of species in the firsted nested corner within a module?"
47,NYSED_SRC2022,1.0,0.6666666666666665,,,Annual_EM_SCIENCE.ENTITY_NAME; Annual_EM_SCIENCE.TOTAL_COUNT,Annual_EM_SCIENCE.ENTITY_CD,,How many  elementary students in the male sub group were given the Science4 assessment in 2021 at FORTS FERRY SCHOOL?
96,CratersWildlifeObservations,0.6666666666666666,0.6666666666666666,VERTEBRATES,,VERTEBRATES.BREED; VERTEBRATES.Common_Name,,,"For each breeding code, show the breeding code definition and count of vertebrate observations for observations of the species with the Common_Name 'mule deer'."
86,KlamathInvasiveSpecies,0.8,0.6666666666666666,tbl_Events,,tbl_Events.Event_ID; tbl_Events.Start_Date; tlu_Contacts.Contact_ID; xref_Event_Contacts.Event_ID,,,"What are the First names, last names, and position titles of contacts who uploaded an event that started in August of 2021? Include only one row per contact"
97,PacificIslandLandbirds,1.0,0.6666666666666666,,,,tbl_Density.Density_ID,,How many events have a half meter density count greater than 8?
84,NYSED_SRC2022,1.0,0.7499999999999999,,,Accountability_Status_by_Subgroup.SCHOOL_TYPE; Accountability_Status_by_Subgroup.YEAR,,,What is the overall acountability status for each school type and student subgroup in 2021 for the entity named 'albany city SD'?
14,NorthernPlainsFireManagement,0.5,0.8,tbl_Overstory,tbl_Tree_Tags,tbl_Overstory.TreeCond,,,Show the tree condition description and the total count of overstory in each condition category.
35,NTSB,0.6666666666666666,0.8,,GV,,GV.CATEGORY,,What vehicle make has the oldest average model year?
50,CratersWildlifeObservations,0.6666666666666666,0.8,INVERTEBRATES,,INVERTEBRATES.Habitat,,,Show the definition of habitats that have more than 40 invertebrate records.
54,NorthernPlainsFireManagement,0.6666666666666666,0.8,,tbl_Deadwood,,tbl_Deadwood.Length,,"What is the distance between the highest and lowest X coordinate locations, and the distance between highest and lowest Y coordinate locations?"
88,ATBI,1.0,0.8571428571428571,,,tbl_Deadwood.Decay,,,What is the decay stage description for the decay stage associated with the shortest recorded length?
45,NorthernPlainsFireManagement,0.6666666666666666,0.888888888888889,,tlu_PlantSpecies,,tlu_PlantSpecies.genus,,"What are the X and Y coordinates, and the species code, of the tree with tag ID 144"
93,NTSB,0.0,1.0,EDREVENT,VPICDECODE,,,,How many events were recorded by an event data recorder?
18,NTSB,0.6666666666666666,1.0,,VPICDECODE,,,,Show the average height of all occupants by age. Ignore height values higher than 220 and age values higher than 120. Show in age order from youngest to oldest.
24,CratersWildlifeObservations,0.6666666666666666,1.0,,Paste_Errors,,,,Show the comments for roadkill entries made before 1990
7,PacificIslandLandbirds,1.0,1.0,,,,,,how many events occurred on the most windy days?
8,CratersWildlifeObservations,1.0,1.0,,,,,,"For each vertebrate observation type, show how many observations the observer named Buckley made"
9,NorthernPlainsFireManagement,1.0,1.0,,,,,,What are the location notes for the location that has the phrase 'probably post logging' in the other disturbance entry?
15,KlamathInvasiveSpecies,1.0,1.0,,,,,,What is the average elevation of the Annie Creek Subwatershed?
19,KlamathInvasiveSpecies,1.0,1.0,,,,,,Which species are in both the Oregon Caves National Monument species lookup table and the Lassen Volcanic National Park species lookup table? Include only one row per species.
30,ASIS_20161108_HerpInv_Database,1.0,1.0,,,,,,show the heaviest turtle for each sex
32,SBODemoUS-Human Resources,1.0,1.0,,,,,,Show the type ID and name of each employee type
36,NorthernPlainsFireManagement,1.0,1.0,,,,,,Show a count of roads and trails by layer.
48,ASIS_20161108_HerpInv_Database,1.0,1.0,,,,,,what is the average weight of all turtles?
53,ASIS_20161108_HerpInv_Database,1.0,1.0,,,,,,Show the average snake weight and snout-to-vent length by sex.
61,ASIS_20161108_HerpInv_Database,1.0,1.0,,,,,,what is the highest snake snout-to-vent length recorded?
77,PacificIslandLandbirds,1.0,1.0,,,,,,Show all of the zip codes for the city of Hilo.
